datasets,organisations,operation,parameters,name,description,notes,severity,responsibility,end-date,entry-date,start-date
conservation-area,local-authority:BAN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":36,""expected"":40}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BAE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":34,""expected"":33}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BAS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":38,""expected"":35}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BDF,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":40,""expected"":29}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BIR,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":44,""expected"":29}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BLA,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":46,""expected"":11}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BBD,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":39,""expected"":16}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BPL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":55,""expected"":7}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BOL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":51,""expected"":26}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:KIN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":186,""expected"":44}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BOT,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":53,""expected"":11}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BPC,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":54,""expected"":48}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BRC,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":57,""expected"":6}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BRA,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":56,""expected"":37}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BRE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":59,""expected"":50}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BRW,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":63,""expected"":13}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BNH,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":49,""expected"":34}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BST,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":66,""expected"":33}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BRO,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":61,""expected"":21}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,national-park-authority:Q4972284,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":399,""expected"":25}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BRM,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":60,""expected"":21}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BRX,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":64,""expected"":6}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BRT,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":62,""expected"":16}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BUN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":68,""expected"":10}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BUR,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":69,""expected"":14}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CLD,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":88,""expected"":19}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CAB,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":70,""expected"":17}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CAN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":72,""expected"":8}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CAT,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":75,""expected"":97}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CAR,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":73,""expected"":27}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CAS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":74,""expected"":2}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CBF,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":76,""expected"":61}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CHA,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":77,""expected"":38}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CHL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":81,""expected"":25}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CHT,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":86,""expected"":1}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CHR,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":84,""expected"":60}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CHE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":79,""expected"":76}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CHW,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":87,""expected"":95}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CHS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":85,""expected"":12}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CHI,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":80,""expected"":85}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CHN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":82,""expected"":13}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CHO,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":83,""expected"":9}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BRD,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":58,""expected"":59}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:LIC,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":199,""expected"":11}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:LND,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":203,""expected"":28}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:WSM,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":387,""expected"":56}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:WLV,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":374,""expected"":16}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:YOR,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":395,""expected"":35}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:COP,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":93,""expected"":9}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CON,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":92,""expected"":101}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:COT,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":95,""expected"":144}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:IOS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":178,""expected"":1}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CRA,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":98,""expected"":27}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CRW,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":99,""expected"":13}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CUA,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":10000,""expected"":30}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:DAC,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":101,""expected"":25}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:DAL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":102,""expected"":17}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:DAR,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":103,""expected"":6}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,national-park-authority:Q5225646,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":400,""expected"":25}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:DER,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":107,""expected"":15}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:DEB,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":106,""expected"":33}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:DNC,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":109,""expected"":46}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:DST,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":112,""expected"":186}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:DOV,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":111,""expected"":57}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:DUD,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":113,""expected"":22}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:DUR,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":114,""expected"":93}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:ECA,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":118,""expected"":26}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:EDE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":119,""expected"":33}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:EHA,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":122,""expected"":43}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:EHE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":123,""expected"":42}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:ELI,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":124,""expected"":17}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:ERY,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":131,""expected"":106}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:EST,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":134,""expected"":25}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:ESK,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":132,""expected"":52}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:EAS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":116,""expected"":67}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:EAT,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":117,""expected"":8}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,development-corporation:Q72463795,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":6,""expected"":0}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
